chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr15	67493013	67547537	54524	48199	0.04	12.64	2.71	2.32	130434	AAGAB	2.18288913746809	0.242990654205607
chr15	80987652	81047963	60311	54613	0.04	14.36	2.81	2.48	153681	ABHD17C	2.5403917679147	0.428738317757009
chr15	89631381	89745592	114211	100886	0.04	12.64	2.45	2	246793.2	ABHD2	1.81513635962461	0.105140186915888
chr15	89346674	89418586	71912	71161	0.08	21.4	6.88	6.36	489470	ACAN	7.64713234489978	0.875
chr15	78463187	78527050	63863	58288	0.04	16.32	4.2	3.84	244924	ACSBG1	4.10339886959004	0.621495327102804
chr15	35080297	35087928	7631	7606	0.56	27.28	11.3	10.16	85964.08	ACTC1	11.7069426664851	0.970794392523365
chr15	83394650	83408533	13883	11975	0.04	13	2.57	2	30803	ACTG1P17	2.55966428452717	0.435747663551402
chr15	43622554	43646754	24200	20400	0.04	7.56	2.34	2	47774.92	ADAL	1.76235030602789	0.0957943925233645
chr15	58887403	59042178	154775	137278	0.04	11.56	2.55	2	350051	ADAM10	2.16992984833036	0.23714953271028
chr15	100511643	100882211	370568	353443	0.04	28.04	4.83	4.16	1707247.24	ADAMTS17	5.57611963502772	0.751168224299065
chr15	79051545	79103806	52261	49961	0.08	30.4	4.87	3.88	243325	ADAMTS7	6.03667280278259	0.787383177570093
chr15	82882946	82924243	41297	36954	0.04	11.12	2.97	2.72	109851.4	ADAMTS7P1	5.67004232476515	0.758177570093458
chr15	84322838	84708594	385756	360131	0.04	21.16	4.31	3.76	1553438.44	ADAMTSL3	4.20058256155105	0.635514018691589
chr15	73043708	73076127	32419	28677	0.04	9.12	2.71	2.44	77812	ADPGK	2.53934728605872	0.427570093457944
chr15	73075176	73090541	15365	14890	0.12	23.96	5.07	4	75551	ADPGK-AS1	5.04733947601894	0.700934579439252
chr15	89164527	89175513	10986	9688	0.08	9.88	3.04	2.76	29480.52	AEN	2.63124955373081	0.452102803738318
chr15	86623039	87572284	949245	864695	0.04	390.04	3.56	3	3077202.96	AGBL1	4.09267568696557	0.619158878504673
chr15	86840065	86860200	20135	19360	0.08	14	3.51	3	67885.4	AGBL1-AS1	4.44334336955099	0.648364485981308
chr15	85923847	86292590	368743	334315	0.04	23.36	2.94	2.64	982309.6	AKAP13	2.37938388051603	0.356308411214953
chr15	58245622	58358122	112500	110500	0.04	34.68	7.06	6.52	780130.32	ALDH1A2	8.12238768301992	0.893691588785047
chr15	101419897	101456831	36934	36459	0.08	29.92	8.91	8.4	324799.92	ALDH1A3	8.85843733635888	0.919392523364486
chr15	85359911	85416714	56803	56178	0.08	30.88	7.85	7.36	441101.72	ALPK3	8.52424501494974	0.907710280373832
