chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr1	147119168	147142666	23498	20198	0.04	12.56	3.31	2.76	66804.76	ACP6	2.94657551164432	0.629032258064516
chr1	142697421	142713606	16185	14532	0.12	8	2.36	2	34230	ANKRD20A12P	1.50443551364408	0.274193548387097
chr1	145470508	145475648	5140	4115	0.08	5	1.4	1	5742.56	ANKRD34A	0.751726629629436	0.0967741935483871
chr1	145549209	145568527	19318	10365	0.04	4.08	1.35	1	14002	ANKRD35	0.908159294331301	0.145161290322581
chr1	147013271	147098021	84750	62172	0.04	16.68	3.21	2	199452	BCL9	2.34214379221277	0.532258064516129
chr1	145695798	145715640	19842	14901	0.08	10.76	2.31	2	34421	CD160	1.83745262371217	0.419354838709677
chr1	146714291	146767448	53157	51982	0.08	22.64	7.14	6.8	371359.68	CHD1L	6.86571539499713	0.967741935483871
chr1	148901845	148904055	2210	1781	0.24	5.04	2.5	2.32	4452.72	DRD5P2	2.27877175025589	0.508064516129032
chr1	143896525	143913161	16636	15786	0.2	15.64	4.78	4	75473.48	FAM72C	5.23067988079562	0.82258064516129
chr1	143896452	143913144	16692	15842	0.2	15.64	4.77	4	75629	FAM72D	5.22155481911074	0.806451612903226
chr1	146655884	146697231	41347	25465	0.04	6.96	1.78	1.6	45282.6	FMO5	1.63180540540541	0.338709677419355
chr1	147228332	147245467	17135	10035	0.04	3.24	1.39	1	13913	GJA5	0.940067567567568	0.161290322580645
chr1	147374946	147381396	6450	4175	0.04	5	1.81	1.6	7536	GJA8	1.24912150424993	0.241935483870968
chr1	145509752	145516077	6325	5800	0.04	17.08	5.68	5.56	32921	GNRHR2	5.93171171171171	0.951612903225806
chr1	145764595	145827104	62509	57079	0.04	23.32	4.41	3.84	251627	GPR89A	5.67765823984404	0.919354838709677
chr1	147400506	147465754	65248	57430	0.04	17.48	4.26	3.36	244632	GPR89B	5.91227010174735	0.935483870967742
chr1	145413191	145417546	4355	2722	0.08	3	1.31	1	3556	HFE2	0.864365580943121	0.129032258064516
chr1	145524891	145543869	18978	16478	0.08	9	2.68	2	44157.48	ITGA10	3.08714984437528	0.661290322580645
chr1	146853914	146989700	135786	75536	0.04	6.24	1.44	1	108593.52	LINC00624	1.03899625824214	0.193548387096774
chr1	143717588	143744520	26932	24111	0.04	11.8	3.42	3	82385	LINC01138	2.78779778018408	0.564516129032258
chr1	145477067	145501670	24603	23271	0.04	16.92	4.77	4	111018.76	LIX1L	4.58611179960013	0.709677419354839
chr1	143687127	143717174	30047	22722	0.04	9	1.99	1.84	45257	LOC100132057	2.16414755816711	0.483870967741935
chr1	148901845	148904055	2210	1781	0.24	5.04	2.5	2.32	4452.72	LOC101060524	2.27877175025589	0.508064516129032
chr1	148876040	148902124	26084	22859	0.04	9	2.64	2.08	60250.08	LOC101927429	0.998261618755696	0.17741935483871
chr1	147680370	147719343	38973	25529	0.04	6	1.63	1	41628	LOC101927468	0.802393224337796	0.112903225806452
chr1	145376206	145382405	6199	5074	0.04	6.72	2.38	2	12096.52	LOC101928979	1.18372834915354	0.225806451612903
chr1	143134603	143202240	67637	63012	0.04	13.92	3.27	3	206039.04	LOC102723769	1.709158357528	0.387096774193548
chr1	148928313	148951596	23283	21347	0.04	10.8	3.26	3	69538	LOC645166	1.42545208260562	0.258064516129032
chr1	146490895	146514600	23705	19105	0.04	6.76	1.79	1.48	34112	LOC728989	1.70855580153666	0.354838709677419
chr1	147806603	147806679	76	5	0.2	0.2	0.2	0.2	1	MIR5087	0.00590737240075614	0.0161290322580645
chr1	145584423	145584482	59	59	5	6.56	5.3	5.2	312.96	MIR6736	5.30440677966102	0.838709677419355
chr1	145293371	146466122	1172751	775526	0.04	23.56	3.01	2	2336789.12	NBPF10	3.00383579585257	0.645161290322581
chr1	147574323	147624470	50147	40376	0.04	12.92	3.09	2.12	124934	NBPF11	5.0586710936551	0.790322580645161
chr1	146373857	146467640	93783	68141	0.04	19.36	2.77	2	188794.28	NBPF12	5.42824266820011	0.854838709677419
chr1	146571066	146585929	14863	9855	0.04	6	1.65	1	16305	NBPF13P	1.08808808808809	0.209677419354839
chr1	148250249	148346757	96508	67283	0.04	9	1.75	1.24	117509	NBPF14	5.51231003923526	0.887096774193548
chr1	148558188	148596268	38080	31205	0.04	30.2	5.1	3.08	159053.04	NBPF15	5.58924131145237	0.903225806451613
chr1	144146811	146467745	2320934	1512159	0.04	28.04	3.19	2	4816464.8	NBPF20	2.13558730742883	0.467741935483871
chr1	148250250	149109726	859476	422524	0.04	146.44	2.54	2	1072165	NBPF25P	1.58901878369846	0.290322580645161
chr1	147574323	148346930	772607	413657	0.04	15	1.88	1.2	777436	NBPF8	1.60509543619866	0.32258064516129
chr1	144614959	145370305	755346	540846	0.04	28.04	3.74	3	2022565.2	NBPF9	1.70910074200889	0.370967741935484
chr1	145209113	145286271	77158	74033	0.04	25.08	4.37	4	323578.68	NOTCH2NL	1.60400241825741	0.306451612903226
chr1	145586493	145589436	2943	2718	0.92	11.48	4.53	4	12311.04	NUDT17	2.80433712984055	0.596774193548387
chr1	144851424	145039996	188572	176172	0.04	28.04	4.33	3.72	763571	PDE4DIP	1.80630670057366	0.403225806451613
chr1	146649430	146651529	2099	1724	0.04	11.44	4.4	4	7591.92	PDIA3P1	4.94265625	0.774193548387097
chr1	145727666	145764207	36541	27916	0.04	10.44	2.43	2	67963.56	PDZK1	1.95409890741806	0.451612903225806
chr1	147466094	147487189	21095	18320	0.04	13.12	2.83	2	51846.8	PDZK1P1	3.21450802901606	0.67741935483871
chr1	145516165	145523733	7568	7443	0.08	18.64	6.08	5.52	45285.08	PEX11B	5.46541053566601	0.870967741935484
chr1	144610815	144612720	1905	1905	1	8.6	3.98	3.72	7587.32	PFN1P2	2.80388765705839	0.580645161290323
chr1	145575988	145586547	10559	9723	0.08	18.96	6.41	6.28	62316.8	PIAS3	4.90457931156067	0.758064516129032
chr1	145590667	145611045	20378	20082	0.12	23.56	8.38	7.76	168363.96	POLR3C	8.19760056869638	1
chr1	145456236	145470388	14152	11752	0.16	11.84	2.7	2	31761.64	POLR3GL	2.64481971854442	0.548387096774194
chr1	148201752	148202537	785	225	0.2	1	0.84	1	189	PPIAL4D	0.555882352941176	0.0645161290322581
chr1	148201752	148202537	785	225	0.2	1	0.84	1	189	PPIAL4E	0.555882352941176	0.0645161290322581
chr1	148201752	148202537	785	225	0.2	1	0.84	1	189	PPIAL4F	0.555882352941176	0.0645161290322581
